Date_reported,New_cases
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,2.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,11.0
2020-03-19,2.0
2020-03-20,0.0
2020-03-21,31.0
2020-03-22,0.0
2020-03-23,26.0
2020-03-24,11.0
2020-03-25,29.0
2020-03-26,43.0
2020-03-27,62.0
2020-03-28,93.0
2020-03-29,107.0
2020-03-30,62.0
2020-03-31,69.0
2020-04-01,120.0
2020-04-02,135.0
2020-04-03,183.0
2020-04-04,109.0
2020-04-05,155.0
2020-04-06,68.0
2020-04-07,143.0
2020-04-08,206.0
2020-04-09,224.0
2020-04-10,311.0
2020-04-11,308.0
2020-04-12,266.0
2020-04-13,325.0
2020-04-14,270.0
2020-04-15,392.0
2020-04-16,398.0
2020-04-17,500.0
2020-04-18,444.0
2020-04-19,343.0
2020-04-20,261.0
2020-04-21,415.0
2020-04-22,467.0
2020-04-23,578.0
2020-04-24,477.0
2020-04-25,478.0
2020-04-26,492.0
2020-04-27,392.0
2020-04-28,401.0
2020-04-29,456.0
2020-04-30,540.0
2020-05-01,455.0
2020-05-02,550.0
2020-05-03,502.0
2020-05-04,418.0
2020-05-05,366.0
2020-05-06,487.0
2020-05-07,507.0
2020-05-08,504.0
2020-05-09,515.0
2020-05-10,522.0
2020-05-11,416.0
2020-05-12,375.0
2020-05-13,402.0
2020-05-14,422.0
2020-05-15,483.0
2020-05-16,528.0
2020-05-17,433.0
2020-05-18,325.0
2020-05-19,260.0
2020-05-20,354.0
2020-05-21,476.0
2020-05-22,442.0
2020-05-23,432.0
2020-05-24,406.0
2020-05-25,259.0
2020-05-26,339.0
2020-05-27,321.0
2020-05-28,477.0
2020-05-29,429.0
2020-05-30,393.0
2020-05-31,468.0
2020-06-01,340.0
2020-06-02,328.0
2020-06-03,483.0
2020-06-04,588.0
2020-06-05,553.0
2020-06-06,550.0
2020-06-07,485.0
2020-06-08,463.0
2020-06-09,394.0
2020-06-10,525.0
2020-06-11,689.0
2020-06-12,683.0
2020-06-13,753.0
2020-06-14,648.0
2020-06-15,656.0
2020-06-16,666.0
2020-06-17,758.0
2020-06-18,829.0
2020-06-19,921.0
2020-06-20,841.0
2020-06-21,735.0
2020-06-22,681.0
2020-06-23,833.0
2020-06-24,940.0
2020-06-25,994.0
2020-06-26,1109.0
2020-06-27,948.0
2020-06-28,917.0
2020-06-29,646.0
2020-06-30,706.0
2020-07-01,664.0
2020-07-02,890.0
2020-07-03,875.0
2020-07-04,914.0
2020-07-05,823.0
2020-07-06,543.0
2020-07-07,564.0
2020-07-08,807.0
2020-07-09,810.0
2020-07-10,819.0
2020-07-11,800.0
2020-07-12,678.0
2020-07-13,612.0
2020-07-14,638.0
2020-07-15,836.0
2020-07-16,848.0
2020-07-17,809.0
2020-07-18,847.0
2020-07-19,731.0
2020-07-20,651.0
2020-07-21,673.0
2020-07-22,829.0
2020-07-23,856.0
2020-07-24,972.0
2020-07-25,1106.0
2020-07-26,920.0
2020-07-27,807.0
2020-07-28,919.0
2020-07-29,1022.0
2020-07-30,1197.0
2020-07-31,1090.0
2020-08-01,1172.0
2020-08-02,1112.0
2020-08-03,990.0
2020-08-04,1061.0
2020-08-05,1271.0
2020-08-06,1318.0
2020-08-07,1453.0
2020-08-08,1489.0
2020-08-09,1199.0
2020-08-10,1008.0
2020-08-11,1158.0
2020-08-12,1433.0
2020-08-13,1592.0
2020-08-14,1732.0
2020-08-15,1847.0
2020-08-16,1637.0
2020-08-17,1464.0
2020-08-18,1616.0
2020-08-19,1967.0
2020-08-20,2134.0
2020-08-21,2106.0
2020-08-22,2328.0
2020-08-23,1987.0
2020-08-24,1799.0
2020-08-25,1658.0
2020-08-26,1670.0
2020-08-27,1974.0
2020-08-28,2438.0
2020-08-29,2481.0
2020-08-30,2096.0
2020-08-31,2141.0
2020-09-01,2088.0
2020-09-02,2495.0
2020-09-03,2430.0
2020-09-04,2723.0
2020-09-05,2836.0
2020-09-06,2107.0
2020-09-07,2174.0
